"year","CO2Emissions"
1880,236
1881,243
1882,256
1883,272
1884,275
1885,277
1886,281
1887,295
1888,327
1889,327
1890,356
1891,372
1892,374
1893,370
1894,383
1895,406
1896,419
1897,440
1898,465
1899,507
1900,534
1901,552
1902,566
1903,617
1904,624
1905,663
1906,707
1907,784
1908,750
1909,785
1910,819
1911,836
1912,879
1913,943
1914,850
1915,838
1916,901
1917,955
1918,936
1919,806
1920,932
1921,803
1922,845
1923,970
1924,963
1925,975
1926,983
1927,1062
1928,1065
1929,1145
1930,1053
1931,940
1932,847
1933,893
1934,973
1935,1027
1936,1130
1937,1209
1938,1142
1939,1192
1940,1299
1941,1334
1942,1342
1943,1391
1944,1383
1945,1160
1946,1238
1947,1392
1948,1469
1949,1419
1950,1630
1951,1767
1952,1795
1953,1841
1954,1865
1955,2042
1956,2177
1957,2270
1958,2330
1959,2454
1960,2569
1961,2580
1962,2686
1963,2833
1964,2995
1965,3130
1966,3288
1967,3393
1968,3566
1969,3780
1970,4053
1971,4208
1972,4376
1973,4614
1974,4623
1975,4596
1976,4864
1977,5026
1978,5087
1979,5369
1980,5315
1981,5152
1982,5113
1983,5094
1984,5280
1985,5439
1986,5607
1987,5752
1988,5965
1989,6097
1990,6127
1991,6217
1992,6164
1993,6162
1994,6266
1995,6398
1996,6542
1997,6651
1998,6643
1999,6610
2000,6765
2001,6992.29052713523
2002,7238.36859993687
2003,7491.4014091709
2004,7739.55614560328
2005,7971
2006,8177.60090138097
2007,8366.02973178185
2008,8546.65811149225
2009,8729.85766080176
2010,8926
2011,9143.11371607698
2012,9379.85526282445
2013,9632.53806073455
2014,9897.47553029943
2015,10170.9810920113
2016,10449.3681663622
2017,10728.9501738444
2018,11006.04053495
2019,11276.9526701711
2020,11538
2021,11786.5400834188
2022,12024.1070333696
2023,12253.2791012848
2024,12476.6345385966
2025,12696.7515967372
2026,12916.2085271388
2027,13137.5835812336
2028,13363.455010454
2029,13596.401066232
2030,13839
2031,14093.253950248
2032,14358.860603697
2033,14634.9415341261
2034,14920.6183153141
2035,15215.01252104
2036,15517.2457250827
2037,15826.4395012212
2038,16141.7154232342
2039,16462.1950649009
2040,16787
2041,17115.3771155894
2042,17447.0745518423
2043,17781.9657622108
2044,18119.9242001469
2045,18460.8233191027
2046,18804.5365725303
2047,19150.9374138817
2048,19499.8992966091
2049,19851.2956741645
2050,20205
2051,20560.6405873944
2052,20916.8651889338
2053,21272.0764170309
2054,21624.6768840984
2055,21973.0692025493
2056,22315.6559847962
2057,22650.8398432519
2058,22977.0233903293
2059,23292.6092384411
2060,23596
2061,23885.9525348329
2062,24162.6406924226
2063,24426.5925696658
2064,24678.3362634594
2065,24918.3998707002
2066,25147.311488285
2067,25365.5992131105
2068,25573.7911420737
2069,25772.4153720712
2070,25962
2071,26143.002273274
2072,26315.5960413759
2073,26479.8843043059
2074,26635.9700620639
2075,26783.9563146499
2076,26923.9460620639
2077,27056.0423043059
2078,27180.3480413759
2079,27296.966273274
2080,27406
